Mouse ID,Worm ID,Category,Broken(Y/N),Length,Width,Half of Width,Volume(um^3),Volume(cm^3)or (ml),Mass Density (gm/ml),,,
402,1,10 Eggs,N,1261.291,16.37967,8.189835,265775.8243,2.65776E-07,2.92353E-07,,,
402,2,10 Eggs,N,1330.315,24.438,12.219,623987.2134,6.23987E-07,6.86386E-07,,,
402,3,10 Eggs,N,1501.557,24.707,12.3535,719899.2726,7.19899E-07,7.91889E-07,,,
402,4,10 Eggs,N,1761.925,21.41867,10.709335,634837.0992,6.34837E-07,6.98321E-07,,,
402,5,10 Eggs,N,1493.323,24.91333,12.456665,727959.4645,7.27959E-07,8.00755E-07,,,
402,6,10 Eggs,N,2442.179,19.251,9.6255,710843.4432,7.10843E-07,7.81928E-07,,,
402,7,10 Eggs,N,1632.372,18.192,9.096,424296.9528,4.24297E-07,4.66727E-07,,,
402,8,10 Eggs,N,1411.513,15.24367,7.621835,257604.7345,2.57605E-07,2.83365E-07,,,
402,9,10 Eggs,N,1816.779,17.7514,8.8757,449631.9907,4.49632E-07,4.94595E-07,,,
403,1,10 Eggs,N,1819.494,18.403,9.2015,483969.2418,4.83969E-07,5.32366E-07,,,
403,2,10 Eggs,N,1976.69,19.927,9.9635,616470.4845,6.1647E-07,6.78118E-07,,,
403,3,10 Eggs,N,2390.697,21.726,10.863,886286.1616,8.86286E-07,9.74915E-07,,,
403,4,10 Eggs,N,2305.187,24.304,12.152,1069428.013,1.06943E-06,1.17637E-06,,,
403,5,10 Eggs,N,1823.983,22.505,11.2525,725552.265,7.25552E-07,7.98107E-07,,,
403,6,10 Eggs,N,2185.9,24.253,12.1265,1009836.595,1.00984E-06,1.11082E-06,,,
403,7,10 Eggs,N,1512.133,21.266,10.633,537095.4729,5.37095E-07,5.90805E-07,,,
403,8,10 Eggs,N,1548.202,18.779,9.3895,428807.556,4.28808E-07,4.71688E-07,,,
403,9,10 Eggs,Y(Head),1340.997,18.224,9.112,349788.1569,3.49788E-07,3.84767E-07,,,
403,10,10 Eggs,Y(Head),711.038,13.072,6.536,95426.01128,9.5426E-08,1.04969E-07,,,
403,11,10 Eggs,Y(Tail),453.013,12.431,6.2155,54981.00566,5.4981E-08,6.04791E-08,,,
403,12,10 Eggs,Y(Tail),308.901,16.309,8.1545,64530.32629,6.45303E-08,7.09834E-08,,,
404,1,10 Eggs,N,2189.897,19.319,9.6595,641922.8793,6.41923E-07,7.06115E-07,,,
404,2,10 Eggs,N,2323.195,18.469,9.2345,622389.5731,6.2239E-07,6.84629E-07,,,
404,3,10 Eggs,N,1652.868,19.378,9.689,487467.8256,4.87468E-07,5.36215E-07,,,
404,4,10 Eggs,N,2069.131,23.142,11.571,870321.3698,8.70321E-07,9.57354E-07,,,
404,5,10 Eggs,N,2213.479,19.153,9.5765,637733.0209,6.37733E-07,7.01506E-07,,,
404,6,10 Eggs,N,1867.7,18.683,9.3415,512023.8935,5.12024E-07,5.63226E-07,,,
404,7,10 Eggs,N,2332.602,20.944,10.472,803618.2361,8.03618E-07,8.8398E-07,,,
404,8,10 Eggs,N,2013.625,19.158,9.579,580455.3438,5.80455E-07,6.38501E-07,,,
404,9,10 Eggs,N,2245.832,21.197,10.5985,792530.4305,7.9253E-07,8.71783E-07,,,
404,10,10 Eggs,N,2373.677,18.354,9.177,628019.2527,6.28019E-07,6.90821E-07,,,
404,11,10 Eggs,N,2146.062,21.043,10.5215,746358.4539,7.46358E-07,8.20994E-07,,,
404,12,10 Eggs,Y(Head),1539.998,16.887,8.4435,344917.3533,3.44917E-07,3.79409E-07,,,
404,13,10 Eggs,Y(Head),1969.952,19.294,9.647,575957.0173,5.75957E-07,6.33553E-07,,,
404,14,10 Eggs,Y(Head),2016.748,19.569,9.7845,606567.0052,6.06567E-07,6.67224E-07,,,
404,15,10 Eggs,Y(Tail),1241.661,15.035,7.5175,220444.7633,2.20445E-07,2.42489E-07,,,
404,16,10 Eggs,Y(Head),1949.246,19.956,9.978,609682.211,6.09682E-07,6.7065E-07,,,
405,1,10 Eggs,N,2418.631,19.172,9.586,698223.2995,6.98223E-07,7.68046E-07,,,
405,2,10 Eggs,Y(Head),1597.445,15.999,7.9995,321145.2276,3.21145E-07,3.5326E-07,,,
405,3,10 Eggs,N,1701.889,17.057,8.5285,388889.6739,3.8889E-07,4.27779E-07,,,
405,4,10 Eggs,N,1855.955,17.733,8.8665,458375.8745,4.58376E-07,5.04213E-07,,,
405,5,10 Eggs,Y(Tail),1337.567,19.128,9.564,384365.6362,3.84366E-07,4.22802E-07,,,
405,6,10 Eggs,N,1138.815,13.015,6.5075,151506.5487,1.51507E-07,1.66657E-07,,,
405,7,10 Eggs,N,2185.264,18.586,9.293,592878.441,5.92878E-07,6.52166E-07,,,
405,9,10 Eggs,N,1641.705,19.763,9.8815,503605.8236,5.03606E-07,5.53966E-07,,,
405,10,10 Eggs,Y(Tail),1025.078,16.588,8.294,221531.1733,2.21531E-07,2.43684E-07,,,
405,11,10 Eggs,N,1970.444,17.318,8.659,464140.4818,4.6414E-07,5.10555E-07,,,
405,12,10 Eggs,Y(Head),1757.094,17.754,8.877,434988.032,4.34988E-07,4.78487E-07,,,
405,13,10 Eggs,Y(Tail),2067.227,16.157,8.0785,423837.6178,4.23838E-07,4.66221E-07,,,
405,14,10 Eggs,N,2146.605,19.222,9.611,622929.881,6.2293E-07,6.85223E-07,,,
405,15,10 Eggs,N,1579.329,16.167,8.0835,324206.239,3.24206E-07,3.56627E-07,,,
405,16,10 Eggs,N,1174.644,15.187,7.5935,212784.5699,2.12785E-07,2.34063E-07,,,
405,17,10 Eggs,N,1919.553,17.106,8.553,441150.6511,4.41151E-07,4.85266E-07,,,
405,18,10 Eggs,N,1261.546,16.847,8.4235,281214.768,2.81215E-07,3.09336E-07,,,
407,1,10 Eggs,N,2471.819,19.488,9.744,737294.6617,7.37295E-07,8.11024E-07,,,
407,2,10 Eggs,N,2320.523,24.593,12.2965,1102297.388,1.1023E-06,1.21253E-06,,,
407,3,10 Eggs,N,2033.072,19.963,9.9815,636347.3708,6.36347E-07,6.99982E-07,,,
407,4,10 Eggs,Y(Head),1407.178,16.857,8.4285,314050.5018,3.14051E-07,3.45456E-07,,,
407,5,10 Eggs,Y(Head),1794.79,22.43,11.215,709189.1288,7.09189E-07,7.80108E-07,,,
407,6,10 Eggs,Y(Tail),1363.361,26.925,13.4625,776268.8725,7.76269E-07,8.53896E-07,,,
407,7,10 Eggs,N,2103.275,20.748,10.374,711112.6752,7.11113E-07,7.82224E-07,,,
407,8,10 Eggs,N,1540.323,17.137,8.5685,355280.4213,3.5528E-07,3.90808E-07,,,
407,9,10 Eggs,Y (Head),960.436,21.087,10.5435,335419.1915,3.35419E-07,3.68961E-07,,,
407,10,10 Eggs,Y(Head),995.149,16.504,8.252,212890.5688,2.12891E-07,2.3418E-07,,,
407,11,10 Eggs,Y(Head),700.355,19.036,9.518,199323.9602,1.99324E-07,2.19256E-07,,,
407,12,10 Eggs,Y (Head),845.992,12.658,6.329,106459.9653,1.0646E-07,1.17106E-07,,,
